Product Name, Date, Quantity, SoldTotal Sales Amount
Product A, 2023-08-01, 50, 1000.00
Product B, 2023-08-01, 30, 600.00
Product A, 2023-08-02, 70, 1400.00
Product C, 2023-08-02, 25, 500.00
Product B, 2023-08-03, 40, 800.00
Product A, 2023-08-03, 60, 1200.00
Product C, 2023-08-04, 20, 400.00
Product B, 2023-08-04, 35, 700.00
Product D, 2023-08-05, 15, 300.00
Product E, 2023-08-05, 45, 900.00
Product A, 2023-08-06, 55, 1100.00
Product C, 2023-08-06, 30, 600.00
Product B, 2023-08-07, 25, 500.00
Product A, 2023-08-07, 65, 1300.00
Product D, 2023-08-08, 10, 200.00
Product E, 2023-08-08, 40, 800.00
Product C, 2023-08-09, 35, 700.00
Product B, 2023-08-09, 20, 400.00
Product A, 2023-08-10, 60, 1200.00
Product E, 2023-08-10, 50, 1000.00
Product C, 2023-08-11, 30, 600.00
Product B, 2023-08-11, 15, 300.00
Product F, 2023-08-12, 25, 500.00
Product G, 2023-08-12, 55, 1100.00
Product H, 2023-08-13, 40, 800.00
Product C, 2023-08-13, 20, 400.00
Product I, 2023-08-14, 30, 600.00
Product J, 2023-08-14, 65, 1300.00
Product K, 2023-08-15, 10, 200.00
Product L, 2023-08-15, 40, 800.00
Product M, 2023-08-16, 55, 1100.00
Product N, 2023-08-16, 45, 900.00
Product O, 2023-08-17, 20, 400.00
Product P, 2023-08-17, 35, 700.00
Product Q, 2023-08-18, 15, 300.00
Product R, 2023-08-18, 65, 1300.00
Product S, 2023-08-19, 40, 800.00
Product T, 2023-08-19, 30, 600.00
Product U, 2023-08-20, 25, 500.00
Product V, 2023-08-20, 55, 1100.00
Product W, 2023-08-21, 45, 900.00
Product X, 2023-08-21, 10, 200.00
Product Y, 2023-08-22, 60, 1200.00
Product Z, 2023-08-22, 20, 400.00
Product A, 2023-08-23, 35, 700.00
Product B, 2023-08-23, 50, 1000.00
Product C, 2023-08-24, 65, 1300.00
Product D, 2023-08-24, 30, 600.00
